id_comision,id_cli,cod_prod,fec_cobro,vr_comision,tip_comision,estado_cobro
1,1,PROD001,2025-06-06,57981.44,ADMINISTRACION,PENDIENTE
2,2,PROD002,2026-02-22,29816.1,TRANSACCION,PENDIENTE
3,3,PROD003,2025-03-05,20512.58,TRANSACCION,PENDIENTE
4,4,PROD004,2026-08-22,75954.65,ADMINISTRACION,PENDIENTE
5,5,PROD005,2026-05-04,5442.21,TRANSACCION,COBRADA
6,6,PROD006,2026-02-04,69008.6,TRANSACCION,COBRADA
7,7,PROD007,2026-05-15,21456.62,TRANSACCION,PENDIENTE
8,8,PROD008,2025-01-30,34164.29,MANEJO,PENDIENTE
9,9,PROD009,2025-06-19,68037.92,ADMINISTRACION,COBRADA
10,10,PROD010,2026-02-08,49391.96,MANEJO,COBRADA
11,11,PROD011,2025-03-27,53206.22,ADMINISTRACION,PENDIENTE
12,12,PROD012,2025-07-06,8771.35,TRANSACCION,COBRADA
13,13,PROD013,2025-08-05,39102.45,TRANSACCION,PENDIENTE
14,14,PROD014,2025-10-12,61400.74,TRANSACCION,COBRADA
15,15,PROD015,2025-03-25,40273.01,MANEJO,COBRADA
16,16,PROD016,2025-12-25,21816.66,ADMINISTRACION,COBRADA
17,17,PROD017,2025-02-01,76220.88,ADMINISTRACION,COBRADA
18,18,PROD018,2025-06-06,22890.87,TRANSACCION,COBRADA
19,19,PROD019,2026-08-01,76081.78,TRANSACCION,COBRADA
20,20,PROD020,2026-01-13,17584.19,MANEJO,COBRADA
