id_incentivo,id_cli,cod_prod,fec_incentivo,tip_incentivo,vr_incentivo,estado_incentivo
1,1,PROD001,2025-06-17,FIDELIZACION,9864.44,OTORGADO
2,2,PROD002,2025-11-16,PROMOCION,22849.45,OTORGADO
3,3,PROD003,2025-03-19,BONO_BIENVENIDA,9585.56,OTORGADO
4,4,PROD004,2025-05-04,CASHBACK,20624.17,CANCELADO
5,5,PROD005,2026-01-15,CASHBACK,27768.24,OTORGADO
6,6,PROD006,2025-01-13,PROMOCION,42004.89,OTORGADO
7,7,PROD007,2026-03-20,FIDELIZACION,33601.33,CANCELADO
8,8,PROD008,2025-06-06,PROMOCION,12926.16,OTORGADO
9,9,PROD009,2026-07-06,PROMOCION,25919.32,OTORGADO
10,10,PROD010,2025-11-27,BONO_BIENVENIDA,42382.9,OTORGADO
11,11,PROD011,2025-10-13,PROMOCION,15973.85,CANCELADO
12,12,PROD012,2026-08-07,PROMOCION,20137.85,CANCELADO
13,13,PROD013,2025-11-29,BONO_BIENVENIDA,26939.75,OTORGADO
14,14,PROD014,2025-09-22,FIDELIZACION,17584.63,OTORGADO
15,15,PROD015,2026-07-24,CASHBACK,28248.23,OTORGADO
16,16,PROD016,2025-03-29,BONO_BIENVENIDA,37403.36,CANCELADO
17,17,PROD017,2026-07-23,BONO_BIENVENIDA,36077.42,CANCELADO
18,18,PROD018,2026-04-04,CASHBACK,9187.4,OTORGADO
19,19,PROD019,2026-02-19,BONO_BIENVENIDA,18779.27,OTORGADO
20,20,PROD020,2026-04-30,FIDELIZACION,24147.67,OTORGADO
