id_oblig,id_cli,cod_prod,vr_aprobado,vr_desembolsado,sdo_capital,vr_cuota,fec_desembolso,fec_venc,dias_mora_act,num_cuotas_pend,calif_riesgo
1,1,PROD001,76252420,63372591.86,21514540.6,1760349.77,2025-08-04,2028-07-19,0,14,A
2,2,PROD002,37431319,33728680.74,10572358.33,2810723.39,2025-02-22,2026-02-17,0,11,
3,3,PROD003,58851377,56842757.01,7814386.83,2368448.21,2025-12-08,2027-11-28,0,21,A
4,4,PROD004,37159040,30928078.22,14708162.6,515467.97,2026-03-14,2031-02-16,5,1,A
5,5,PROD005,17015458,13868428.15,11797045.74,231140.47,2025-06-02,2030-05-07,10,3,B
6,6,PROD006,51555330,47250558.59,10672942.84,3937546.55,2025-05-11,2026-05-06,15,5,B
7,7,PROD007,50942697,49913465.92,38767986.59,1386485.16,2025-02-10,2028-01-26,25,14,B
8,8,PROD008,35491314,33127119.82,13271613.31,552118.66,2026-02-21,2031-01-26,30,48,B
9,9,PROD009,22743797,22406114.49,6749320.65,933588.1,2025-06-16,2027-06-06,35,14,C
10,10,PROD010,5326769,4452497.76,3944085.75,185520.74,2026-02-26,2026-01-27,45,9,C
11,11,PROD011,23367172,22373480.72,4293052.17,466114.18,2025-02-09,2029-01-19,55,15,C
12,12,PROD012,28786211,27730255.67,13622702.99,1155427.32,2025-11-09,2027-10-30,60,8,C
13,13,PROD013,5176186,4824239.7,2116375.06,402019.98,2025-10-13,2026-10-08,65,5,D
14,14,PROD014,49130035,45607232.05,20054714.3,3800602.67,2025-12-06,2026-12-01,70,2,D
15,15,PROD015,37059710,30971302.3,28436430.3,2580941.86,2025-09-29,2026-09-24,80,2,D
16,16,PROD016,60326160,52431723.2,40291889.19,873862.05,2026-03-23,2031-02-25,90,33,D
17,17,PROD017,17521714,15367228.04,9068198.76,1280602.34,2025-09-18,2026-09-13,95,12,E
18,18,PROD018,60526649,48441792.68,42955221.5,1345605.35,2025-07-21,2028-07-05,110,28,E
19,19,PROD019,11391725,11275243.44,9952152.57,939603.62,2025-11-18,2026-11-13,150,12,E
20,20,PROD020,42308572,38137983.39,25432656.27,794541.32,2025-12-01,2029-11-10,200,45,E
