cod_prod,desc_prod,tip_prod,tasa_ea,plazo_max_meses,cuota_min,comision_admin,estado_prod
PROD001,Producto financiero 1,CREDITO_LIBRE_INVERSION,34.4056,60,241458.61,,ACTIVO
PROD002,Producto financiero 2,CREDITO_ROTATIVO,20.8326,60,91281.74,28745.32,ACTIVO
PROD003,Producto financiero 3,TARJETA_DIGITAL,24.378,24,282228.37,38986.93,ACTIVO
PROD004,Producto financiero 4,CUENTA_AHORROS,26.6264,36,149748.07,35225.91,ACTIVO
PROD005,Producto financiero 5,PSE,18.0824,60,162871.54,16155.75,ACTIVO
PROD006,Producto financiero 6,TRANSFERENCIA_ACH,9.7287,12,197077.18,15355.16,ACTIVO
PROD007,Producto financiero 7,CREDITO_LIBRE_INVERSION,13.9459,12,226960.24,7649.32,ACTIVO
PROD008,Producto financiero 8,CREDITO_ROTATIVO,9.8198,12,264908.85,8188.58,ACTIVO
PROD009,Producto financiero 9,TARJETA_DIGITAL,14.4261,48,103559.2,10954.03,ACTIVO
PROD010,Producto financiero 10,CUENTA_AHORROS,33.2589,60,194052.91,15934.88,ACTIVO
PROD011,Producto financiero 11,PSE,20.7703,48,97602.48,9361.89,ACTIVO
PROD012,Producto financiero 12,TRANSFERENCIA_ACH,19.6384,48,152775.57,43872.65,ACTIVO
PROD013,Producto financiero 13,CREDITO_LIBRE_INVERSION,9.4626,12,65153.17,37769.61,ACTIVO
PROD014,Producto financiero 14,CREDITO_ROTATIVO,29.616,12,112164.08,13559.4,ACTIVO
PROD015,Producto financiero 15,TARJETA_DIGITAL,20.1126,48,95872.01,25818.26,ACTIVO
PROD016,Producto financiero 16,CUENTA_AHORROS,31.6111,12,160782.69,43760.71,ACTIVO
PROD017,Producto financiero 17,PSE,22.8588,12,213036.22,29326.46,ACTIVO
PROD018,Producto financiero 18,TRANSFERENCIA_ACH,8.3985,12,281591.75,43191.31,ACTIVO
PROD019,Producto financiero 19,CREDITO_LIBRE_INVERSION,12.4904,48,170339.6,43909.27,ACTIVO
PROD020,Producto financiero 20,CREDITO_ROTATIVO,32.366,24,144743.28,49338.9,ACTIVO
